,COVID-19 Daily Update,,,,,,,,,,,,,,,,,,,COVID-19 Weekly Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,confirmed and,Confirmed and,,,,,,,,,,,,,,,Reported Risk Factors (percent),,,,,,,,,,,,By sex (percent),,By Age (count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Race (count),,,,,,,,,,,,,,,,,,,,,,,,By Ethnicit (count),,,,,,,,,Underlying conditions in deaths (count),,,,,,,,,,
,,,,,,Confirmed,presumptive,presumptive,,,Weekly,,Weekly,,weekly,,,,,,,,contact with confirmed,,congregate living,,health care worker,,patient care,,Out of home area,,Underlying conditions,,,,0-19,,,,,20-29,,,,,30-39,,,,,40-49,,,,,50-59,,,,,60-69,,,,,70-79,,,,,80+,,,,,not available,,,,,white,,,black,,,asian,,,native,,,islander,,,other,,,>1 race,,,not available,,,hispanic,,,non- hispanic,,,not available,,,diabeties,resptory,heart,former smoker,smoker,renal,liver,neuro,immuno,obesity,other
Date,Tests,Week Tests,Positive,% Positive,% Week,Positive Growth,cases,new cases,Weekly Growth,Hospitalized,Hospitalized,ICU,ICU,ventilators,ventilators,Dead,Newly Dead,Weekly Death,Total Tests,cases,deaths,hosp,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,M,F,cases,new,deaths,new,hosp,cases,new,deaths,new,hosp,cases,new,deaths,new,hosp,cases,new,deaths,new,hosp,cases,new,deaths,new,hosp,cases,new,deaths,new,hosp,cases,new,deaths,new,hosp,cases,new,deaths,new,hosp,cases,new,deaths,new,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,,,,,,,,,,,
Wed June 24 2020,"3,293",,"7,185",5.07%,,167,"7,444",171,,185,,59,,29,,195,3,,"213,749",7083,192,969,65,22.2,19.4,65.3,12.7,70.5,75.8,21.9,12.5,66.8,49.8,34,48.3,51.3,703,227,0,0,11,1334,282,0,0,51,1260,238,1,0,75,1169,190,3,0,118,1063,139,9,1,172,742,82,39,1,209,466,51,52,1,186,336,44,88,9,145,10,10,0,0,2,2967,140,555,301,6,43,288,8,43,139,3,15,196,4,31,2056,16,210,213,2,20,923,13,52,2465,22,239,3696,153,676,922,17,54,,,,,,,,,,,
Thu June 25 2020,"2,595",,"7,294",4.20%,,109,"7,568",124,,189,,60,,29,,197,2,,"216,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri June 26 2020,524,,"7,530",45.04%,,236,"7,818",250,,180,,60,,29,,202,5,,"216,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat June 27 2020,0,,"7,530",,,0,"7,818",0,,180,,60,,29,,202,0,,"216,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun June 28 2020,0,,"7,530",,,0,"7,818",0,,180,,60,,29,,202,0,,"216,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon June 29 2020,"17,901",,"8,121",3.30%,,591,"8,485",667,,151,,44,,29,,204,2,,"234,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue June 30 2020,"2,474","26,787","8,265",5.82%,4.03%,144,"8,656",171,"1,383",149,173.43,42,55.00,25,28.43,207,3,15,"237,243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed July 1 2020,"5,711",,"8,525",4.55%,,260,"8,931",275,,192,,62,,24,,208,1,,"242,954",8485,204,1025,66.6,22,18.5,67.8,12.1,72.7,74.9,22.7,13.7,67.7,48.4,37.3,47.8,52,936,233,0,0,13,1658,324,0,0,53,1498,238,1,0,78,1408,239,3,0,124,1235,172,9,0,176,836,94,40,1,222,523,57,55,3,206,375,39,96,8,153,16,6,0,0,0,3490,150,582,368,6,47,327,9,44,179,3,15,262,5,39,2586,16,226,245,2,18,1028,13,54,3061,24,262,4353,163,701,1071,17,62,,,,,,,,,,,
Thu July 2 2020,"7,683",,"8,877",4.58%,,352,9294,363,,173,,52,,25,,209,1,,"250,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri July 3 2020,0,,"8,877",,,0,9294,0,,173,,52,,25,,209,0,,"250,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat July 4 2020,0,,"8,877",,,0,9294,0,,173,,52,,25,,209,0,,"250,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun July 5 2020,0,,"8,877",,,0,9294,0,,173,,52,,25,,209,0,,"250,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon July 6 2020,"16,591",,"9,902",6.18%,,"1,025",10395,1101,,183,,61,,26,,215,6,,"267,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue July 7 2020,"4,159","34,144","10,086",4.42%,4.57%,184,10605,210,"1,949",191,179.71,66,56.71,22,24.57,220,5,13,"271,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed July 8 2020,"4,340",,"10,227",3.25%,,141,10817,212,,188,,57,,27,,224,4,,"275,727",10395,215,1125,66.8,21.3,16.9,69.4,11.2,73.8,74.6,22.8,14.8,67.2,48.4,39.5,52.1,47.7,1236,300,0,0,17,2137,479,0,0,63,1832,334,1,0,84,1723,315,3,0,141,1443,208,9,0,194,979,143,41,1,238,606,83,59,4,225,424,49,102,6,163,15,-1,0,0,0,4291,157,632,442,6,52,373,9,49,231,3,17,315,6,52,3243,17,253,273,2,20,1227,15,50,3802,26,293,5259,170,756,1334,19,76,,,,,,,,,,,
Thu July 9 2020,"5,792",,"10,632",6.99%,,405,11188,371,,192,,59,,25,,230,6,,"281,519",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri July 10 2020,"4,678",,"10,881",5.32%,,249,11454,266,,208,,56,,25,,232,2,,"286,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat July 11 2020,0,,"10,881",,,0,11454,0,,208,,56,,25,,232,0,,"286,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun July 12 2020,0,,"10,881",,,0,11454,0,,208,,56,,30,,232,0,,"286,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon July 13 2020,"13,872",,"11,795",8.38%,,"1,163",12438,984,,248,,67,,35,,237,5,,"300,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue July 14 2020,"4,733","33,415","12,151",7.52%,5.76%,356,12805,367,2200,235,212.43,64,59.29,35,28.86,244,7,24,"304,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed July 15 2020,"6,309",,"12,406",4.04%,,255,13081,276,,207,,53,,30,,247,3,,"311,111",12438,237,1234,66,21.5,15.3,70.6,10.5,74.1,73.2,24.1,15.5,66.8,47.4,41.3,48.1,51.6,1580,344,0,0,21,2613,476,0,0,71,2202,370,2,1,98,2076,353,3,0,157,1665,222,12,3,206,1118,139,45,4,254,698,92,64,5,245,471,47,111,9,182,15,0,0,0,0,5183,174,687,523,6,58,429,9,56,275,3,23,335,6,51,3950,19,279,311,2,21,1432,18,59,4631,30,322,6270,185,827,1537,22,85,,,,,,,,,,,
Thu July 16 2020,"7,133",,"12,807",5.62%,,401,13509,428,,219,,63,,33,,249,2,,"318,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri July 17 2020,"5,234",,"13,085",5.31%,,278,13802,293,,242,,64,,34,,254,5,,"323,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat July 18 2020,0,,"13,085",,,0,13802,0,,242,,64,,34,,254,0,,"323,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun July 19 2020,0,,"13,085",,,0,13802,0,,242,,64,,34,,254,0,,"323,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon July 20 2020,"15,804",,"14,085",6.33%,,"1,000",14847,1045,,233,,70,,34,,262,8,,"339,282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue July 21 2020,"5,197","39,677","14,355",5.20%,4.91%,270,15139,292,2334,237,231.71,64,63.14,34,33.29,269,7,25,"344,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed July 22 2020,"7,508",,"14,586",3.08%,,231,15393,254,,231,,61,,30,,271,2,,"351,987",14847,262,1387,65.8,21.3,14.2,71,10.3,73.9,72,25.3,16,66.1,46.6,42.6,47.9,51.8,1981,401,0,0,26,3187,574,0,0,82,2604,402,3,1,115,2470,394,3,0,172,1954,289,13,1,228,1282,164,49,4,279,790,92,71,7,265,554,83,123,12,214,25,10,0,0,6,6151,193,763,576,6,64,479,11,62,331,3,28,370,6,52,4814,21,318,342,2,22,1784,20,78,5610,32,373,7336,205,908,1901,25,106,,,,,,,,,,,
Thu July 23 2020,"5,691",,"14,900",,,314,15713,320,,225,,52,,28,,273,2,,"357,678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri July 24 2020,"8,058",,"15,273",,,373,16104,391,,233,,58,,30,,282,9,,"365,736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat July 25 2020,0,,"15,273",,,0,16104,0,,233,,58,,30,,282,0,,"365,736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun July 26 2020,0,,"15,273",,,0,16104,0,,233,,58,,30,,282,0,,"365,736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon July 27 2020,"15,982",,"16,240",,,967,17088,984,,237,,58,,27,,289,7,,"381,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue July 28 2020,"5,068","42,307","16,546",,4.63%,306,17416,328,2277,230,231.71,58,57.57,31,29.43,303,14,34,"386,786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed July 29 2020,"6,463",,"16,815",,,269,17721,305,,235,,62,,32,,311,8,,"393,249",17088,289,1514,65.6,21.4,14,71.4,10.1,74.4,72,25.6,16,66.5,46.2,43.6,47.9,51.8,2409,428,0,0,34,3694,507,0,0,93,2990,386,3,0,128,2852,382,5,2,185,2196,242,16,3,252,1439,157,55,6,297,879,89,75,4,291,606,52,135,12,230,23,-2,0,0,4,7034,203,824,645,8,70,539,13,65,419,3,37,398,6,56,5611,25,347,381,3,22,2061,28,93,6523,36,408,8408,217,975,2157,36,131,,,,,,,,,,,
Thu July 30 2020,"4,456",,"17,197",,,382,18131,410,,229,,66,,30,,316,5,,"397,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri July 31 2020,"5,536",,"17,540",,,343,18492,361,,208,,65,,32,,322,6,,"403,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat August 1 2020,0,,"17,540",,,0,18492,0,,208,,65,,32,,322,0,,"403,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun August 2 2020,0,,"17,540",,,0,18492,0,,208,,65,,32,,322,0,,"403,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon August 3 2020,"12,879",,"18,335",,,795,19366,874,,215,,62,,27,,328,6,,"416,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue August 4 2020,"4,820","34,154","18,636",,5.33%,301,"19,672",306,2256,215,216.86,62,63.86,27,30.29,333,5,30,"420,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed August 5 2020,"4,820",,"18,936",,,301,19979,307,,228,,60,,27,,338,5,,"425,759",19366,328,1655,66.1,21.3,13.4,72,10,74.6,71.5,25.9,16,66.9,45.4,44.6,47.8,51.9,2808,399,0,0,38,4202,508,1,1,106,3385,395,3,0,143,3220,368,5,0,203,2470,274,20,4,267,1593,154,61,6,320,977,98,86,11,325,681,75,152,17,249,30,7,0,0,4,7890,223,891,703,9,74,592,15,72,461,6,45,423,6,59,6534,30,383,406,3,21,2357,36,110,7558,41,449,9371,240,1061,2437,47,145,,,,,,,,,,,
Thu August 6 2020,"5,440",,"19,162",,,226,20225,246,,230,,58,,29,,339,1,,"431,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri August 7 2020,"5,420",,"19,562",,,400,20636,411,,204,,51,,18,,348,9,,"436,619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat August 8 2020,0,,"19,562",,,0,20636,0,,204,,51,,18,,348,0,,"436,619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun August 9 2020,0,,"19,562",,,0,20636,0,,204,,51,,18,,348,0,,"436,619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon August 10 2020,"13,010",,"20,345",,,783,21488,852,,214,,58,,22,,357,9,,"449,629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue August 11 2020,"6,328","35,018","20,643",,4.87%,298,21774,286,"2,102",234,216.86,59,55.43,15,21.00,368,11,35,"455,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed August 12 2020,"5,438",,"20,875",,,232,22022,248,,213,,50,,17,,375,7,,"461,395",21488,357,1798,66.5,21,13.4,72.3,10,74.9,71.5,26,16.2,67.1,45.5,44.9,47.7,52,3155,347,0,0,41,4631,429,1,0,119,3777,392,3,0,158,3560,340,7,2,217,2753,283,20,0,294,1769,176,63,2,356,1059,82,93,7,348,762,81,170,18,262,22,-8,0,0,3,8683,237,959,757,9,81,630,16,74,516,7,52,447,6,61,7336,34,424,431,3,25,2688,45,122,8443,45,495,10388,254,1145,2657,58,158,,,,,,,,,,,
Thu August 13 2020,"5,270",,21158,,,283,22317,295,,218,,53,,16,,380,5,,466665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri August 14 2020,"5,270",,"21,441",,,283,22613,296,,224,,57,,16,,385,5,,"471,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat August 15 2020,"5,596",,"21,679",,,238,"22,864",251,,220,,56,,16,,390,5,,"477,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun August 16 2020,"5,596",,"21,916",,,238,"23,116",251,,216,,55,,16,,394,5,,"483,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon August 17 2020,"5,596",,"22,154",,,238,"23,367",251,,211,,53,,16,,399,5,,"488,723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue August 18 2020,"5,596","38,362","22,391",,3.95%,238,"23,619",251,1844,207,215.57,52,53.71,16,16.14,403,5,35,"494,319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed August 19 2020,"5,596",,"22,629",,,238,23870,251,,203,,51,,16,,408,5,,"499,915",23451,388,1913,66.8,20.9,13.3,72.4,10,74.9,71.4,26.2,16.3,67,45.6,45.1,47.6,52.1,3484,329,0,0,45,5052,421,1,0,125,4129,352,3,0,171,3898,338,7,0,225,2974,221,24,4,314,1896,127,64,1,371,1152,93,104,11,377,840,78,185,15,282,26,4,0,0,3,9456,257,1017,822,9,81,674,18,78,561,8,56,472,6,62,8105,36,463,455,4,25,2906,50,131,9313,47,534,11270,275,1208,2868,66,171,,,,,,,,,,,
Thu August 20 2020,"5,071",,"22,917",,,288,24165,295,,175,,48,,21,,412,4,,"504,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri August 21 2020,"5,071",,"23,156",,,239,24421,256,,173,,47,,19,,414,2,,"510,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat August 22 2020,0,,"23,156",,,0,24421,0,,173,,47,,19,,414,0,,"510,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun August 23 2020,0,,"23,156",,,0,24421,0,,173,,47,,19,,414,0,,"510,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon August 24 2020,"11,985",,"23,859",,,703,25155,734,,143,,44,,25,,420,6,,"522,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue August 25 2020,"4,662","32,384","24,085",,4.50%,226,25391,236,1772,154,170.57,53,48.14,27,20.86,427,7,24,"526,703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed August 26 2020,"4,753",,"24,289",,,204,25571,180,,140,,48,,26,,433,6,,"531,456",25155,420,2028,67.2,20.9,13,73.1,9.9,75.3,71.5,26.1,16.4,67.2,45.3,45.6,47.8,51.9,3769,285,0,0,48,5417,365,1,0,134,4451,322,4,1,175,4157,259,7,0,236,3195,221,24,0,334,2033,137,70,6,394,1220,68,109,5,399,884,44,205,20,302,29,3,0,0,6,10063,281,1087,870,9,84,712,18,80,608,9,62,493,6,66,8800,38,489,479,5,25,3130,54,135,10065,49,564,12001,298,1289,3089,73,175,,,,,,,,,,,
Thu August 27 2020,"5,981",,"24,482",,,193,25761,190,,171,,53,,23,,438,5,,"537,437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri August 28 2020,"5,152",,"24,776",,,294,26054,293,,166,,47,,22,,447,9,,"542,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat August 29 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun August 30 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon August 31 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue September 1 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed September 2 2020,,,,,,,,,,,,,,,,,,,,26713,459,2149,68.2,20.8,13,73.2,9.9,75.5,71.6,26.1,16.4,67.3,45.5,45.6,48,51.7,3994,225,0,0,50,5790,373,2,1,146,4707,256,5,1,184,4398,241,7,0,247,3401,206,29,5,354,2172,139,77,7,417,1290,70,119,10,418,939,55,220,15,330,22,-7,0,0,3,10688,304,1154,919,11,90,751,18,85,652,10,67,521,7,71,9374,41,515,502,6,26,3306,62,141,10721,55,598,12721,321,1363,3271,83,188,,,,,,,,,,,
Thu September 3 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri September 4 2020,,,"26,268",,,,27601,,,147,,45,,23,,475,,,"575,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
